subject,window_start_s,condition,eda_mean,eda_std,bvp_mean,temp_mean,acc_mag_mean
S2,1100.0,baseline,0.1155,0.0012,-1.4305,35.836,63.0461
S2,1105.0,baseline,0.1153,0.001,0.2836,35.818,63.0043
S2,1110.0,baseline,0.1155,0.0011,1.3461,35.802,63.0885
S2,1115.0,baseline,0.116,0.0008,-0.1344,35.778,63.1131
S2,1120.0,baseline,0.116,0.0008,-0.3082,35.77,63.1094
S2,1125.0,baseline,0.1158,0.0008,-0.4849,35.746,63.0608
S2,1130.0,baseline,0.1157,0.0009,0.4377,35.754,63.0674
S2,1135.0,baseline,0.1147,0.0014,0.08,35.734,63.0457
S2,1140.0,baseline,0.1153,0.0009,-1.5603,35.726,63.1081
S2,1145.0,baseline,0.1146,0.0013,7.4882,35.692,63.1706
S2,1150.0,baseline,0.1026,0.0015,-4.7661,35.688,63.1426
S2,1155.0,baseline,0.103,0.0013,-1.714,35.656,63.0737
S2,1160.0,baseline,0.1014,0.0012,0.715,35.658,63.1563
S2,1165.0,baseline,0.1014,0.0012,-0.2598,35.66,63.2325
S2,1170.0,baseline,0.1009,0.0009,-0.9914,35.654,63.1548
S2,1175.0,baseline,0.0997,0.0013,0.0686,35.656,63.116
S2,1180.0,baseline,0.0994,0.0009,1.0487,35.668,63.1491
S2,1185.0,baseline,0.0982,0.0012,-0.1148,35.666,63.2901
S2,1190.0,baseline,0.1017,0.0099,-1.9209,35.672,63.3068
S2,1195.0,baseline,0.1109,0.0045,-1.9776,35.692,63.3105
S2,1200.0,baseline,0.1001,0.0034,2.2057,35.704,63.0947
S2,1205.0,baseline,0.1163,0.0111,1.1661,35.7,63.5831
S2,1210.0,baseline,0.1025,0.0016,0.232,35.714,63.3863
S2,1215.0,baseline,0.1,0.001,1.371,35.698,63.4817
S2,1220.0,baseline,0.0983,0.0011,-1.0275,35.704,63.4722
S2,1225.0,baseline,0.0971,0.0014,-0.803,35.682,63.4612
S2,1230.0,baseline,0.0957,0.0014,-0.4028,35.692,63.4651
S2,1235.0,baseline,0.0976,0.0023,3.7999,35.686,63.4352
S2,1240.0,baseline,0.0998,0.0015,-2.0625,35.662,63.5199
S2,1245.0,baseline,0.0994,0.0011,-1.212,35.658,63.4149
S2,1250.0,baseline,0.0997,0.0009,0.9229,35.654,63.4085
S2,1255.0,baseline,0.0987,0.0012,-0.2054,35.65,63.4563
S2,1260.0,baseline,0.098,0.0013,-0.8042,35.642,63.4185
S2,1265.0,baseline,0.097,0.0013,0.74,35.63,63.4061
S2,1270.0,baseline,0.0963,0.0009,0.3037,35.618,63.4131
S2,1275.0,baseline,0.0955,0.0009,-0.3083,35.61,63.504
S2,1280.0,baseline,0.0953,0.001,0.3244,35.61,63.4225
S2,1285.0,baseline,0.0947,0.0011,-0.7,35.614,63.295
S2,1290.0,baseline,0.0939,0.0006,0.1943,35.618,63.304
S2,1295.0,baseline,0.0923,0.001,-0.0237,35.61,63.4306
S2,1300.0,baseline,0.0918,0.0013,-0.5833,35.622,63.8369
S2,1305.0,baseline,0.1012,0.0047,-1.3425,35.622,62.8719
S2,1310.0,baseline,0.0971,0.0054,3.8344,35.626,63.6715
S2,1315.0,baseline,0.0786,0.002,2.0005,35.64,63.197
S2,1320.0,baseline,0.0781,0.0054,-2.2247,35.65,63.6886
S2,1325.0,baseline,0.0968,0.0065,-1.5839,35.666,63.6642
S2,1330.0,baseline,0.1019,0.0009,-0.5796,35.694,63.1287
S2,1335.0,baseline,0.103,0.0013,0.8706,35.726,62.997
S2,1340.0,baseline,0.1039,0.0011,-1.2171,35.722,62.8366
S2,1345.0,baseline,0.1033,0.0012,-0.2288,35.722,62.8887
S2,1350.0,baseline,0.1041,0.0012,1.633,35.702,62.9099
S2,1355.0,baseline,0.1148,0.0063,-0.0781,35.702,62.9098
S2,1360.0,baseline,0.1271,0.0015,0.4046,35.686,63.0203
S2,1365.0,baseline,0.1271,0.0017,-1.3885,35.668,63.0997
S2,1370.0,baseline,0.1253,0.0006,0.7703,35.656,63.055
S2,1375.0,baseline,0.123,0.001,0.1644,35.656,63.1244
S2,1380.0,baseline,0.1222,0.0015,0.0327,35.652,62.9973
S2,1385.0,baseline,0.1222,0.0013,-0.5422,35.638,63.1083
S2,1390.0,baseline,0.1205,0.0011,1.1482,35.618,63.1698
S2,1395.0,baseline,0.1215,0.0012,-16.6963,35.594,63.1541
S2,1400.0,baseline,0.1224,0.001,16.431,35.594,63.0311
S2,1405.0,baseline,0.1222,0.003,-3.2857,35.578,63.5268
S2,1410.0,baseline,0.1078,0.008,17.9465,35.562,64.1472
S2,1415.0,baseline,0.0927,0.0128,-18.6774,35.538,64.1682
S2,1420.0,baseline,0.1101,0.0228,8.969,35.524,63.2251
S2,1425.0,baseline,0.1283,0.0057,-16.3227,35.524,63.2432
S2,1430.0,baseline,0.1292,0.0043,23.7083,35.534,63.3293
S2,1435.0,baseline,0.1385,0.0055,-2.7009,35.524,63.3369
S2,1440.0,baseline,0.1312,0.0019,-11.0535,35.538,63.2643
S2,1445.0,baseline,0.2391,0.2319,-0.2374,35.522,68.2426
S2,2275.0,stress,0.7773,0.0088,12.3532,34.066,64.4206
S2,2280.0,stress,0.7563,0.0053,-1.8535,34.074,63.6861
S2,2285.0,stress,0.7447,0.0039,2.0995,34.082,63.1675
S2,2290.0,stress,0.7489,0.0067,-1.5614,34.086,63.3007
S2,2295.0,stress,0.7411,0.0094,-9.4082,34.086,63.3514
S2,2300.0,stress,0.7263,0.0073,11.7088,34.074,63.0319
S2,2305.0,stress,0.7354,0.0075,2.793,34.078,62.8088
S2,2310.0,stress,0.727,0.0053,-0.2857,34.066,63.1464
S2,2315.0,stress,0.7029,0.0057,-18.1963,34.066,63.1808
S2,2320.0,stress,0.6881,0.0057,17.164,34.054,62.8756
S2,2325.0,stress,0.6776,0.0074,-6.6729,34.058,62.8156
S2,2330.0,stress,0.6576,0.0046,3.4238,34.036,62.9533
S2,2335.0,stress,0.6398,0.007,4.9807,34.022,62.6951
S2,2340.0,stress,0.6417,0.0071,-4.1649,34.018,62.9534
S2,2345.0,stress,0.632,0.0062,-1.6685,34.006,62.9721
S2,2350.0,stress,0.6038,0.0069,2.3122,33.992,62.9269
S2,2355.0,stress,0.5922,0.0044,3.6613,33.974,63.0738
S2,2360.0,stress,0.6207,0.0291,-9.5736,33.974,62.7813
S2,2365.0,stress,0.6237,0.0201,6.5767,33.954,62.7207
S2,2370.0,stress,0.5987,0.0035,-2.9515,33.95,62.7369
S2,2375.0,stress,0.6182,0.0103,3.4649,33.942,63.007
S2,2380.0,stress,0.5979,0.0047,-2.9218,33.942,63.0767
S2,2385.0,stress,0.5904,0.0037,-1.9648,33.914,63.0359
S2,2390.0,stress,0.5956,0.0179,3.9657,33.91,63.1792
S2,2395.0,stress,0.6137,0.0088,-2.9406,33.898,63.4482
S2,2400.0,stress,0.6078,0.0066,1.2938,33.878,62.8863
S2,2405.0,stress,0.6329,0.0103,-0.079,33.878,62.8684
S2,2410.0,stress,0.6142,0.0022,0.171,33.872,62.7545
S2,2415.0,stress,0.6063,0.0051,-0.7102,33.87,63.2445
S2,2420.0,stress,0.5997,0.0031,1.2205,33.862,62.7182
S2,2425.0,stress,0.5892,0.0031,-4.6374,33.844,62.6753
S2,2430.0,stress,0.5883,0.0037,6.3029,33.862,62.7815
S2,2435.0,stress,0.5917,0.0031,-2.8291,33.852,62.6351
S2,2440.0,stress,0.5894,0.0077,-2.3742,33.826,63.2276
S2,2445.0,stress,0.5772,0.0098,0.9137,33.806,63.5294
S2,2450.0,stress,0.5618,0.0085,-0.0061,33.798,65.3453
S2,2455.0,stress,0.5667,0.0038,-0.0418,33.786,63.074
S2,2460.0,stress,0.5592,0.0044,2.4516,33.774,62.7922
S2,2465.0,stress,0.6482,0.0285,-1.2681,33.778,62.914
S2,2470.0,stress,0.6798,0.0221,1.0297,33.762,62.775
S2,2475.0,stress,0.6679,0.0181,-7.7421,33.762,62.7603
S2,2480.0,stress,0.6798,0.0118,10.2845,33.75,62.9005
S2,2485.0,stress,0.6674,0.0095,1.9561,33.75,64.0468
S2,2490.0,stress,0.6552,0.0058,-11.1216,33.726,63.2782
S2,2495.0,stress,0.6823,0.0188,9.1569,33.704,62.886
S2,2500.0,stress,0.6939,0.0147,-2.852,33.672,62.8365
S2,2505.0,stress,0.7193,0.0071,-0.4564,33.666,63.908
S2,2510.0,stress,0.7384,0.0114,4.2714,33.656,63.4724
S2,2515.0,stress,0.7261,0.0093,-5.2337,33.638,63.936
S2,2520.0,stress,0.7279,0.0065,1.2722,33.63,63.0404
S2,2525.0,stress,0.7204,0.0034,1.1772,33.614,62.5429
S2,2530.0,stress,0.775,0.0337,-5.8596,33.594,65.2403
S2,2535.0,stress,0.7653,0.0177,4.8009,33.59,62.8908
S2,2540.0,stress,0.7486,0.0088,0.0153,33.578,62.7117
S2,2545.0,stress,0.7491,0.0093,0.9717,33.586,62.9852
S2,2550.0,stress,0.7853,0.0729,-5.0123,33.57,63.4151
S2,2555.0,stress,0.8552,0.0361,5.3733,33.57,62.7614
S2,2560.0,stress,0.859,0.0149,0.4407,33.566,62.7644
S2,2565.0,stress,0.8746,0.0223,-0.3748,33.542,62.7608
S2,2570.0,stress,0.9438,0.0308,-1.1011,33.512,62.6759
S2,2575.0,stress,0.9142,0.0093,-0.4252,33.494,62.7491
S2,2580.0,stress,0.9326,0.0178,-3.197,33.492,62.7613
S2,2585.0,stress,0.9763,0.0185,2.8748,33.484,62.8247
S2,2590.0,stress,0.9572,0.006,1.189,33.484,62.7792
S2,2595.0,stress,1.0077,0.0298,-1.4557,33.454,62.6921
S2,2600.0,stress,0.9355,0.0081,0.9568,33.45,62.6872
S2,2605.0,stress,0.9121,0.0066,-0.9972,33.438,62.7525
S2,2610.0,stress,0.9041,0.0031,0.8138,33.426,62.7231
S2,2615.0,stress,0.9752,0.0421,-1.9152,33.41,62.7272
S2,2620.0,stress,0.9879,0.0186,1.874,33.386,62.6621
S2,2625.0,stress,1.1118,0.0455,0.2333,33.386,62.6818
S2,2630.0,stress,1.0368,0.0202,0.5982,33.374,62.6893
S2,2635.0,stress,1.0048,0.022,-2.5155,33.382,62.7332
S2,2640.0,stress,1.0681,0.01,1.7306,33.374,62.6905
S2,2645.0,stress,1.0772,0.0268,1.5498,33.338,62.7071
S2,2650.0,stress,1.0492,0.0161,-1.0403,33.336,62.7943
S2,2655.0,stress,1.0125,0.008,-1.9991,33.346,62.6893
S2,2660.0,stress,1.0132,0.0358,-1.1817,33.332,63.2196
S2,2665.0,stress,1.1025,0.0403,4.6162,33.318,62.8829
S2,2670.0,stress,1.0128,0.0081,-2.4968,33.314,62.9724
S2,2675.0,stress,0.9886,0.008,1.7311,33.302,62.7009
S2,2680.0,stress,0.9554,0.0057,-0.372,33.278,62.6738
S2,2685.0,stress,0.9724,0.0346,-0.5768,33.27,62.692
S2,2690.0,stress,1.0384,0.0366,2.0686,33.254,62.7063
S2,2695.0,stress,0.997,0.0052,-3.4301,33.246,62.7577
S2,2700.0,stress,1.0128,0.0093,1.8446,33.192,62.6915
S2,2705.0,stress,0.995,0.0091,1.0286,33.17,62.6773
S2,2710.0,stress,1.0326,0.0227,-1.5347,33.152,62.7284
S2,2715.0,stress,1.0552,0.012,1.0508,33.128,62.7045
S2,2720.0,stress,1.0417,0.0119,-1.0458,33.118,62.7038
S2,2725.0,stress,1.0192,0.0066,0.3096,33.09,62.7046
S2,2730.0,stress,1.0225,0.0071,-0.8852,33.07,62.6901
S2,2735.0,stress,1.0414,0.0162,-0.499,33.034,62.7953
S2,2740.0,stress,1.0213,0.0114,-0.4225,33.012,62.7619
S2,2745.0,stress,1.0189,0.0044,0.4891,32.994,62.9447
S2,2750.0,stress,1.0135,0.008,2.373,32.988,62.8004
S2,2755.0,stress,1.0357,0.0263,-0.8533,32.974,62.6528
S2,2760.0,stress,1.0682,0.0271,0.443,32.958,62.7331
S2,2765.0,stress,1.0494,0.0084,-1.1942,32.926,62.8835
S2,2770.0,stress,1.1411,0.0305,0.9607,32.91,62.8421
S2,2775.0,stress,1.0774,0.0172,2.4606,32.906,62.7277
S2,2780.0,stress,1.0765,0.0219,-2.441,32.87,62.7542
S2,2785.0,stress,1.0895,0.0057,-0.0739,32.85,62.7149
S2,2790.0,stress,1.1043,0.0205,-0.3232,32.828,62.7837
S2,2795.0,stress,1.12,0.022,-1.0932,32.822,62.6997
S2,2800.0,stress,1.0761,0.0055,-2.0238,32.802,62.7265
S2,2805.0,stress,1.0682,0.007,2.997,32.782,62.8114
S2,2810.0,stress,1.0701,0.0033,-0.5431,32.774,62.7475
S2,2815.0,stress,1.087,0.0284,-0.9545,32.766,62.7116
S2,2820.0,stress,1.1516,0.0208,1.8625,32.738,62.7615
S2,2825.0,stress,1.1455,0.0118,-0.7018,32.734,62.7911
S2,2830.0,stress,1.131,0.0077,-1.5133,32.704,62.7154
S2,2835.0,stress,1.1368,0.0219,2.2922,32.68,62.708
S2,2840.0,stress,1.1242,0.0081,-2.3434,32.656,62.7566
S2,2845.0,stress,1.1123,0.0109,1.7341,32.66,62.782
S2,2850.0,stress,1.14,0.0335,0.5213,32.64,62.7115
S2,2855.0,stress,1.203,0.0181,-0.9313,32.634,62.7249
S2,2860.0,stress,1.1446,0.0188,0.5381,32.634,62.6776
S2,2865.0,stress,1.1235,0.0087,-2.7734,32.61,62.7514
S2,2870.0,stress,1.1564,0.0406,2.2126,32.61,62.7212
S2,2875.0,stress,1.2174,0.0228,-1.1267,32.594,62.7851
S2,2880.0,stress,1.1691,0.0098,2.5997,32.586,62.7738
S2,2885.0,stress,1.2063,0.0154,-0.0158,32.594,62.7145
S2,4765.0,amusement,0.1864,0.0076,0.5584,34.398,63.2207
S2,4770.0,amusement,0.1677,0.0035,6.5943,34.406,63.142
S2,4775.0,amusement,0.1739,0.0091,-8.826,34.402,63.1851
S2,4780.0,amusement,0.1837,0.0073,-1.1913,34.386,62.9463
S2,4785.0,amusement,0.2149,0.0098,4.2958,34.39,63.2067
S2,4790.0,amusement,0.218,0.0023,-1.6328,34.39,63.2198
S2,4795.0,amusement,0.2113,0.0014,0.2015,34.394,63.186
S2,4800.0,amusement,0.2255,0.006,0.3274,34.364,63.2122
S2,4805.0,amusement,0.22,0.0059,-5.6016,34.378,63.3672
S2,4810.0,amusement,0.2269,0.0043,5.6919,34.376,63.1296
S2,4815.0,amusement,0.2141,0.0025,-0.3481,34.35,63.1535
S2,4820.0,amusement,0.206,0.0016,-0.3705,34.358,63.2331
S2,4825.0,amusement,0.2007,0.0027,-0.7013,34.338,63.2788
S2,4830.0,amusement,0.1966,0.0036,1.0784,34.336,63.2851
S2,4835.0,amusement,0.1987,0.0048,-1.3028,34.326,63.3647
S2,4840.0,amusement,0.1901,0.0035,-4.7308,34.322,63.2257
S2,4845.0,amusement,0.1901,0.003,5.8816,34.326,63.1488
S2,4850.0,amusement,0.1873,0.0037,5.6195,34.306,63.1844
S2,4855.0,amusement,0.2,0.0118,-6.2513,34.282,63.0209
S2,4860.0,amusement,0.2044,0.0103,-1.4294,34.278,63.0711
S2,4865.0,amusement,0.2223,0.0112,4.7484,34.27,63.0875
S2,4870.0,amusement,0.2051,0.0013,-1.1922,34.258,63.271
S2,4875.0,amusement,0.2094,0.0036,-0.5855,34.258,63.1302
S2,4880.0,amusement,0.1998,0.004,-2.6194,34.242,63.0354
S2,4885.0,amusement,0.1949,0.0011,1.5932,34.234,62.9914
S2,4890.0,amusement,0.195,0.0012,0.3574,34.234,63.1506
S2,4895.0,amusement,0.1922,0.0019,-0.4492,34.224,63.0736
S2,4900.0,amusement,0.2039,0.0084,-0.5474,34.196,63.2098
S2,4905.0,amusement,0.2286,0.0092,0.9881,34.216,63.2314
S2,4910.0,amusement,0.2131,0.0031,-0.8312,34.196,63.2332
S2,4915.0,amusement,0.2055,0.0014,0.2798,34.188,63.2298
S2,4920.0,amusement,0.1982,0.0033,-3.2044,34.182,63.1557
S2,4925.0,amusement,0.1939,0.0033,3.8946,34.168,63.0773
S2,4930.0,amusement,0.1858,0.0012,-1.0924,34.168,63.0078
S2,4935.0,amusement,0.1837,0.0014,0.4599,34.164,62.9275
S2,4940.0,amusement,0.1786,0.0021,-1.0013,34.156,62.9386
S2,4945.0,amusement,0.1838,0.0076,1.2385,34.156,63.1377
S2,4950.0,amusement,0.1896,0.008,-3.033,34.152,63.0594
S2,4955.0,amusement,0.1788,0.0019,3.5613,34.15,63.131
S2,4960.0,amusement,0.1733,0.0015,-1.3143,34.13,63.0585
